date,time,entidad,compra,venta
2026-03-11,2026-03-11T12:46:23Z,Asociación Romana,60.3,
2026-03-11,2026-03-11T12:46:23Z,Asociación Peravia de Ahorros y Préstamos,59,61.5
2026-03-11,2026-03-11T12:46:23Z,Taveras,60.25,61.6
2026-03-11,2026-03-11T12:46:23Z,Asociación Duarte,59.8,61.8
2026-03-11,2026-03-11T12:46:23Z,Gamelin,61,61.9
2026-03-11,2026-03-11T12:46:23Z,Banco Unión,60,62
2026-03-11,2026-03-11T12:46:23Z,Abonap,59.68,62.06
2026-03-11,2026-03-11T12:46:23Z,Moneycorps,61,62.1
2026-03-11,2026-03-11T12:46:23Z,Motor Crédito,60.449999999999996,62.1
2026-03-11,2026-03-11T12:46:23Z,Panora Exchange,61.25,62.2
2026-03-11,2026-03-11T12:46:23Z,Bonanza Banco,60.5,62.25
2026-03-11,2026-03-11T12:46:23Z,Capla,61,62.3
2026-03-11,2026-03-11T12:46:23Z,Banco Caribe,60.3,62.4
2026-03-11,2026-03-11T12:46:23Z,Banreservas,60.449999999999996,62.449999999999996
2026-03-11,2026-03-11T12:46:23Z,RM,61.4,62.5
2026-03-11,2026-03-11T12:46:23Z,Cambio Extranjero,61.25,62.5
2026-03-11,2026-03-11T12:46:23Z,SCT,61.2,62.5
2026-03-11,2026-03-11T12:46:23Z,Banco BHD,59.8,62.5
2026-03-11,2026-03-11T12:46:23Z,Banco Lafise,60,62.5
2026-03-11,2026-03-11T12:46:23Z,Asociación La Nacional de Ahorros y Préstamos,60.5,62.5
2026-03-11,2026-03-11T12:46:23Z,Asociación Popular de Ahorros y Préstamos,59.3,62.5
2026-03-11,2026-03-11T12:46:23Z,Asociación Cibao de Ahorros y Préstamos,60.449999999999996,62.6
2026-03-11,2026-03-11T12:46:23Z,Banesco,60.15,62.7
