date,time,entidad,compra,venta
2025-06-12,2025-06-12T13:37:00Z,Asociación Mocana,56,
2025-06-12,2025-06-12T13:37:00Z,Agente de Cambio La Nacional,58.6,
2025-06-12,2025-06-12T13:37:00Z,Asociación Romana,58.3,
2025-06-12,2025-06-12T13:37:00Z,Moneycorps,59.05,59.4
2025-06-12,2025-06-12T13:37:00Z,Taveras,59,59.449999999999996
2025-06-12,2025-06-12T13:37:00Z,Panora Exchange,59,59.449999999999996
2025-06-12,2025-06-12T13:37:00Z,Cambio Extranjero,59.05,59.5
2025-06-12,2025-06-12T13:37:00Z,Girosol,58.949999999999996,59.5
2025-06-12,2025-06-12T13:37:00Z,RM,59.1,59.5
2025-06-12,2025-06-12T13:37:00Z,Gamelin,58.9,59.5
2025-06-12,2025-06-12T13:37:00Z,Capla,58.9,59.5
2025-06-12,2025-06-12T13:37:00Z,SCT,58.9,59.5
2025-06-12,2025-06-12T13:37:00Z,Motor Crédito,58.4,60
2025-06-12,2025-06-12T13:37:00Z,Banco BHD,57.6,60.25
2025-06-12,2025-06-12T13:37:00Z,Asociación Cibao de Ahorros y Préstamos,58.449999999999996,60.25
2025-06-12,2025-06-12T13:37:00Z,Banco Vimenca,58.5,60.25
2025-06-12,2025-06-12T13:37:00Z,Banco Unión,58.2,60.25
2025-06-12,2025-06-12T13:37:00Z,Alaver,58.449999999999996,60.25
2025-06-12,2025-06-12T13:37:00Z,Banreservas,58.4,60.25
2025-06-12,2025-06-12T13:37:00Z,Bonanza Banco,58.6,60.25
2025-06-12,2025-06-12T13:37:00Z,Banco Caribe,58.4,60.25
2025-06-12,2025-06-12T13:37:00Z,Abonap,58.13,60.339999999999996
2025-06-12,2025-06-12T13:37:00Z,Banco Lafise,58.15,60.5
2025-06-12,2025-06-12T13:37:00Z,Banco Popular,57.5,60.5
2025-06-12,2025-06-12T13:37:00Z,Banesco,58.4,60.5
2025-06-12,2025-06-12T13:37:00Z,Asociación Duarte,58.2,60.5
2025-06-12,2025-06-12T13:37:00Z,Asociación Peravia de Ahorros y Préstamos,58.1,60.5
2025-06-12,2025-06-12T13:37:00Z,Asociación Popular de Ahorros y Préstamos,57.9,60.5
2025-06-12,2025-06-12T13:37:00Z,Asociación La Nacional de Ahorros y Préstamos,58.3,60.6
