date,time,entidad,compra,venta
2025-08-27,2025-08-27T13:32:17Z,Capla,62.6,
2025-08-27,2025-08-27T13:32:17Z,Asociación Mocana,59.2,
2025-08-27,2025-08-27T13:32:17Z,Asociación Romana,61.8,
2025-08-27,2025-08-27T13:32:17Z,Banreservas,61.05,63.05
2025-08-27,2025-08-27T13:32:17Z,Banco Caribe,62.05,63.05
2025-08-27,2025-08-27T13:32:17Z,Abonap,61.28,63.09
2025-08-27,2025-08-27T13:32:17Z,Asociación Popular de Ahorros y Préstamos,60.849999999999994,63.1
2025-08-27,2025-08-27T13:32:17Z,Banco BHD,60.3,63.1
2025-08-27,2025-08-27T13:32:17Z,Asociación Cibao de Ahorros y Préstamos,62.1,63.1
2025-08-27,2025-08-27T13:32:17Z,Banco Vimenca,62.1,63.1
2025-08-27,2025-08-27T13:32:17Z,Banco Lafise,61.1,63.1
2025-08-27,2025-08-27T13:32:17Z,Banco Popular,60.1,63.1
2025-08-27,2025-08-27T13:32:17Z,Alaver,62.1,63.1
2025-08-27,2025-08-27T13:32:17Z,Asociación La Nacional de Ahorros y Préstamos,62.1,63.1
2025-08-27,2025-08-27T13:32:17Z,Banesco,61,63.1
2025-08-27,2025-08-27T13:32:17Z,Asociación Duarte,62.05,63.1
2025-08-27,2025-08-27T13:32:17Z,Motor Crédito,61.8,63.1
2025-08-27,2025-08-27T13:32:17Z,Cambio Extranjero,62.75,63.190000000000005
2025-08-27,2025-08-27T13:32:17Z,Gamelin,62.05,63.2
2025-08-27,2025-08-27T13:32:17Z,Asociación Peravia de Ahorros y Préstamos,61.2,63.2
2025-08-27,2025-08-27T13:32:17Z,Moneycorps,62.7,63.3
2025-08-27,2025-08-27T13:32:17Z,Taveras,62.6,63.3
2025-08-27,2025-08-27T13:32:17Z,RM,62.7,63.3
2025-08-27,2025-08-27T13:32:17Z,Banco Unión,61,63.3
2025-08-27,2025-08-27T13:32:17Z,SCT,62.7,63.4
2025-08-27,2025-08-27T13:32:17Z,Panora Exchange,62.75,63.449999999999996
2025-08-27,2025-08-27T13:32:17Z,Girosol,62.5,63.5
2025-08-27,2025-08-27T13:32:17Z,Bonanza Banco,62.3,63.5
