date,time,entidad,compra,venta
2025-03-13,2025-03-13T14:16:29Z,Agente de Cambio La Nacional,62.5,
2025-03-13,2025-03-13T14:16:29Z,Girosol,62.05,62.8
2025-03-13,2025-03-13T14:16:29Z,RM,62.4,62.8
2025-03-13,2025-03-13T14:16:29Z,Gamelin,62.5,62.9
2025-03-13,2025-03-13T14:16:29Z,Scotiabank Cambio online,61.15,62.9
2025-03-13,2025-03-13T14:16:29Z,Alaver,61.9,62.9
2025-03-13,2025-03-13T14:16:29Z,Asociación Peravia de Ahorros y Préstamos,61.7,62.9
2025-03-13,2025-03-13T14:16:29Z,Scotiabank,61,62.949999999999996
2025-03-13,2025-03-13T14:16:29Z,Motor Crédito,62.05,62.949999999999996
2025-03-13,2025-03-13T14:16:29Z,Cambio Extranjero,62.4,63
2025-03-13,2025-03-13T14:16:29Z,Asociación Cibao de Ahorros y Préstamos,62,63
2025-03-13,2025-03-13T14:16:29Z,Banco Lafise,61.5,63
2025-03-13,2025-03-13T14:16:29Z,Asociación La Nacional de Ahorros y Préstamos,62,63
2025-03-13,2025-03-13T14:16:29Z,Bonanza Banco,62.1,63
2025-03-13,2025-03-13T14:16:29Z,Banesco,61.1,63
2025-03-13,2025-03-13T14:16:29Z,Banco Popular,61.25,63
2025-03-13,2025-03-13T14:16:29Z,Asociación Popular de Ahorros y Préstamos,61.3,63
2025-03-13,2025-03-13T14:16:29Z,Moneycorps,62.55,63.1
2025-03-13,2025-03-13T14:16:29Z,Panora Exchange,62.5,63.1
2025-03-13,2025-03-13T14:16:29Z,Capla,62.6,63.1
2025-03-13,2025-03-13T14:16:29Z,Taveras,62.5,63.1
2025-03-13,2025-03-13T14:16:29Z,SCT,62.5,63.3
