date,time,entidad,compra,venta
2025-11-18,2025-11-18T14:44:46Z,Asociación Romana,63,
2025-11-18,2025-11-18T14:44:46Z,Moneycorps,63.2,63.9
2025-11-18,2025-11-18T14:44:46Z,Panora Exchange,63.25,64
2025-11-18,2025-11-18T14:44:46Z,RM,63.1,64
2025-11-18,2025-11-18T14:44:46Z,Capla,63.4,64.1
2025-11-18,2025-11-18T14:44:46Z,Taveras,63.4,64.1
2025-11-18,2025-11-18T14:44:46Z,SCT,63.5,64.25
2025-11-18,2025-11-18T14:44:46Z,Banco Unión,63,64.25
2025-11-18,2025-11-18T14:44:46Z,Asociación Cibao de Ahorros y Préstamos,62.5,64.3
2025-11-18,2025-11-18T14:44:46Z,Banco Vimenca,62.8,64.3
2025-11-18,2025-11-18T14:44:46Z,Banreservas,62.3,64.3
2025-11-18,2025-11-18T14:44:46Z,Banco Caribe,63,64.3
2025-11-18,2025-11-18T14:44:46Z,Motor Crédito,63.2,64.3
2025-11-18,2025-11-18T14:44:46Z,Asociación La Nacional de Ahorros y Préstamos,62.9,64.4
2025-11-18,2025-11-18T14:44:46Z,Cambio Extranjero,,64.44000000000001
2025-11-18,2025-11-18T14:44:46Z,Banco BHD,62.25,64.45
2025-11-18,2025-11-18T14:44:46Z,Banco Popular,62.05,64.45
2025-11-18,2025-11-18T14:44:46Z,Gamelin,63,64.5
2025-11-18,2025-11-18T14:44:46Z,Asociación Duarte,63,64.5
2025-11-18,2025-11-18T14:44:46Z,Bonanza Banco,63,64.5
2025-11-18,2025-11-18T14:44:46Z,Girosol,63.2,64.55
2025-11-18,2025-11-18T14:44:46Z,Abonap,62.86,64.59
2025-11-18,2025-11-18T14:44:46Z,Asociación Popular de Ahorros y Préstamos,62.65,64.6
2025-11-18,2025-11-18T14:44:46Z,Banco Lafise,62.6,64.6
2025-11-18,2025-11-18T14:44:46Z,Alaver,63.6,64.6
2025-11-18,2025-11-18T14:44:46Z,Asociación Peravia de Ahorros y Préstamos,63.2,64.6
2025-11-18,2025-11-18T14:44:46Z,Banesco,62.7,64.6
