date,time,entidad,compra,venta
2025-07-09,2025-07-09T13:37:32Z,Capla,60,
2025-07-09,2025-07-09T13:37:32Z,Agente de Cambio La Nacional,59.8,
2025-07-09,2025-07-09T13:37:32Z,Asociación Mocana,56,
2025-07-09,2025-07-09T13:37:32Z,Asociación Romana,59.5,
2025-07-09,2025-07-09T13:37:32Z,Girosol,59.5,60
2025-07-09,2025-07-09T13:37:32Z,Gamelin,59.8,60.5
2025-07-09,2025-07-09T13:37:32Z,Asociación Peravia de Ahorros y Préstamos,58.1,60.5
2025-07-09,2025-07-09T13:37:32Z,Moneycorps,60.1,60.55
2025-07-09,2025-07-09T13:37:32Z,RM,60.1,60.55
2025-07-09,2025-07-09T13:37:32Z,Cambio Extranjero,60,60.59
2025-07-09,2025-07-09T13:37:32Z,Panora Exchange,60.1,60.6
2025-07-09,2025-07-09T13:37:32Z,SCT,59.8,60.6
2025-07-09,2025-07-09T13:37:32Z,Banco Unión,58.5,60.6
2025-07-09,2025-07-09T13:37:32Z,Alaver,59,60.6
2025-07-09,2025-07-09T13:37:32Z,Banreservas,58.75,60.6
2025-07-09,2025-07-09T13:37:32Z,Asociación Duarte,59,60.6
2025-07-09,2025-07-09T13:37:32Z,Taveras,60.1,60.65
2025-07-09,2025-07-09T13:37:32Z,Asociación La Nacional de Ahorros y Préstamos,59.55,60.65
2025-07-09,2025-07-09T13:37:32Z,Banco Caribe,59.65,60.65
2025-07-09,2025-07-09T13:37:32Z,Asociación Popular de Ahorros y Préstamos,59,60.65
2025-07-09,2025-07-09T13:37:32Z,Abonap,58.75,60.67
2025-07-09,2025-07-09T13:37:32Z,Banco BHD,57.9,60.7
2025-07-09,2025-07-09T13:37:32Z,Asociación Cibao de Ahorros y Préstamos,59.6,60.7
2025-07-09,2025-07-09T13:37:32Z,Banco Vimenca,59.5,60.7
2025-07-09,2025-07-09T13:37:32Z,Banco Lafise,58.7,60.7
2025-07-09,2025-07-09T13:37:32Z,Banco Popular,57.7,60.7
2025-07-09,2025-07-09T13:37:32Z,Banesco,58.4,60.7
2025-07-09,2025-07-09T13:37:32Z,Bonanza Banco,59.2,60.7
2025-07-09,2025-07-09T13:37:32Z,Motor Crédito,59.7,60.7
