date,time,entidad,compra,venta
2025-07-11,2025-07-11T13:36:55Z,Capla,60.1,
2025-07-11,2025-07-11T13:36:55Z,Agente de Cambio La Nacional,59.8,
2025-07-11,2025-07-11T13:36:55Z,Asociación Mocana,56,
2025-07-11,2025-07-11T13:36:55Z,Asociación Romana,59.5,
2025-07-11,2025-07-11T13:36:55Z,Girosol,59.5,60
2025-07-11,2025-07-11T13:36:55Z,Asociación Peravia de Ahorros y Préstamos,58.1,60.5
2025-07-11,2025-07-11T13:36:55Z,RM,60.1,60.55
2025-07-11,2025-07-11T13:36:55Z,Banco Unión,58.6,60.6
2025-07-11,2025-07-11T13:36:55Z,Taveras,60.1,60.65
2025-07-11,2025-07-11T13:36:55Z,Cambio Extranjero,60.17,60.690000000000005
2025-07-11,2025-07-11T13:36:55Z,Banreservas,58.849999999999994,60.7
2025-07-11,2025-07-11T13:36:55Z,Asociación Duarte,59.1,60.7
2025-07-11,2025-07-11T13:36:55Z,Banco Caribe,59.65,60.7
2025-07-11,2025-07-11T13:36:55Z,Motor Crédito,59.7,60.7
2025-07-11,2025-07-11T13:36:55Z,Abonap,58.87,60.74
2025-07-11,2025-07-11T13:36:55Z,Moneycorps,60.15,60.75
2025-07-11,2025-07-11T13:36:55Z,Banco BHD,57.949999999999996,60.75
2025-07-11,2025-07-11T13:36:55Z,Asociación Cibao de Ahorros y Préstamos,59.65,60.75
2025-07-11,2025-07-11T13:36:55Z,Banco Vimenca,59.75,60.75
2025-07-11,2025-07-11T13:36:55Z,Alaver,59.65,60.75
2025-07-11,2025-07-11T13:36:55Z,Banco Popular,57.75,60.75
2025-07-11,2025-07-11T13:36:55Z,Asociación La Nacional de Ahorros y Préstamos,59.65,60.75
2025-07-11,2025-07-11T13:36:55Z,Banco Lafise,58.75,60.75
2025-07-11,2025-07-11T13:36:55Z,Banesco,58.4,60.75
2025-07-11,2025-07-11T13:36:55Z,Asociación Popular de Ahorros y Préstamos,59,60.75
2025-07-11,2025-07-11T13:36:55Z,SCT,60,60.8
2025-07-11,2025-07-11T13:36:55Z,Gamelin,60.1,60.8
2025-07-11,2025-07-11T13:36:55Z,Bonanza Banco,60,60.8
2025-07-11,2025-07-11T13:36:55Z,Panora Exchange,60.15,60.849999999999994
