date,time,entidad,compra,venta
2025-11-28,2025-11-28T13:34:31Z,Capla,62.7,
2025-11-28,2025-11-28T13:34:31Z,Asociación Romana,62.1,
2025-11-28,2025-11-28T13:34:31Z,Taveras,62.2,63
2025-11-28,2025-11-28T13:34:31Z,Cambio Extranjero,62.8,63.25
2025-11-28,2025-11-28T13:34:31Z,Panora Exchange,62.7,63.5
2025-11-28,2025-11-28T13:34:31Z,RM,63,63.5
2025-11-28,2025-11-28T13:34:31Z,Gamelin,62.8,63.7
2025-11-28,2025-11-28T13:34:31Z,Moneycorps,63,63.8
2025-11-28,2025-11-28T13:34:31Z,SCT,63,63.8
2025-11-28,2025-11-28T13:34:31Z,Banreservas,61.8,63.8
2025-11-28,2025-11-28T13:34:31Z,Banco Caribe,62,63.8
2025-11-28,2025-11-28T13:34:31Z,Girosol,62.4,63.9
2025-11-28,2025-11-28T13:34:31Z,Motor Crédito,62.2,63.9
2025-11-28,2025-11-28T13:34:31Z,Abonap,61.91,63.99
2025-11-28,2025-11-28T13:34:31Z,Asociación Popular de Ahorros y Préstamos,61.65,64
2025-11-28,2025-11-28T13:34:31Z,Banco Unión,62,64
2025-11-28,2025-11-28T13:34:31Z,Asociación La Nacional de Ahorros y Préstamos,61.9,64
2025-11-28,2025-11-28T13:34:31Z,Bonanza Banco,62.5,64
2025-11-28,2025-11-28T13:34:31Z,Asociación Duarte,61.9,64
2025-11-28,2025-11-28T13:34:31Z,Asociación Peravia de Ahorros y Préstamos,61.8,64
2025-11-28,2025-11-28T13:34:31Z,Asociación Cibao de Ahorros y Préstamos,62.05,64.05
2025-11-28,2025-11-28T13:34:31Z,Banco BHD,61.849999999999994,64.05
2025-11-28,2025-11-28T13:34:31Z,Banco Vimenca,62.449999999999996,64.05
2025-11-28,2025-11-28T13:34:31Z,Banco Lafise,61.849999999999994,64.05
2025-11-28,2025-11-28T13:34:31Z,Banco Popular,61.65,64.05
2025-11-28,2025-11-28T13:34:31Z,Banesco,61.8,64.05
