date,time,entidad,compra,venta
2026-03-10,2026-03-10T12:46:55Z,Capla,60.4,
2026-03-10,2026-03-10T12:46:55Z,Cambio Extranjero,60.849999999999994,
2026-03-10,2026-03-10T12:46:55Z,Asociación Romana,59.75,
2026-03-10,2026-03-10T12:46:55Z,Motor Crédito,59.949999999999996,61.4
2026-03-10,2026-03-10T12:46:55Z,RM,60.7,61.5
2026-03-10,2026-03-10T12:46:55Z,Asociación Peravia de Ahorros y Préstamos,59,61.5
2026-03-10,2026-03-10T12:46:55Z,Banco Unión,59,61.5
2026-03-10,2026-03-10T12:46:55Z,Taveras,60.25,61.6
2026-03-10,2026-03-10T12:46:55Z,Banco Caribe,60,61.6
2026-03-10,2026-03-10T12:46:55Z,Bonanza Banco,60,61.65
2026-03-10,2026-03-10T12:46:55Z,Abonap,59.36,61.71
2026-03-10,2026-03-10T12:46:55Z,Moneycorps,60.7,61.8
2026-03-10,2026-03-10T12:46:55Z,Gamelin,60.5,61.8
2026-03-10,2026-03-10T12:46:55Z,Asociación Duarte,59.8,61.8
2026-03-10,2026-03-10T12:46:55Z,Banreservas,59.849999999999994,61.849999999999994
2026-03-10,2026-03-10T12:46:55Z,SCT,60.8,61.9
2026-03-10,2026-03-10T12:46:55Z,Asociación La Nacional de Ahorros y Préstamos,59.9,61.9
2026-03-10,2026-03-10T12:46:55Z,Asociación Popular de Ahorros y Préstamos,59.3,62
2026-03-10,2026-03-10T12:46:55Z,Panora Exchange,60.75,62
2026-03-10,2026-03-10T12:46:55Z,Banco BHD,59.3,62
2026-03-10,2026-03-10T12:46:55Z,Asociación Cibao de Ahorros y Préstamos,60,62
2026-03-10,2026-03-10T12:46:55Z,Banco Lafise,60,62
2026-03-10,2026-03-10T12:46:55Z,Banesco,59.15,62
