date,time,entidad,compra,venta
2025-03-18,2025-03-18T19:15:15Z,Capla,62.75,
2025-03-18,2025-03-18T19:15:15Z,Agente de Cambio La Nacional,62.5,
2025-03-18,2025-03-18T19:15:15Z,Cambio Extranjero,62.4,63
2025-03-18,2025-03-18T19:15:15Z,RM,62.8,63.1
2025-03-18,2025-03-18T19:15:15Z,Asociación Peravia de Ahorros y Préstamos,62,63.2
2025-03-18,2025-03-18T19:15:15Z,Asociación Cibao de Ahorros y Préstamos,62.25,63.25
2025-03-18,2025-03-18T19:15:15Z,Girosol,62.55,63.25
2025-03-18,2025-03-18T19:15:15Z,Taveras,62.75,63.25
2025-03-18,2025-03-18T19:15:15Z,Scotiabank Cambio online,61.5,63.25
2025-03-18,2025-03-18T19:15:15Z,Alaver,62.05,63.25
2025-03-18,2025-03-18T19:15:15Z,Asociación La Nacional de Ahorros y Préstamos,62.25,63.25
2025-03-18,2025-03-18T19:15:15Z,Banco Lafise,61.75,63.25
2025-03-18,2025-03-18T19:15:15Z,Banesco,61.3,63.25
2025-03-18,2025-03-18T19:15:15Z,Banco Popular,61.3,63.25
2025-03-18,2025-03-18T19:15:15Z,Asociación Popular de Ahorros y Préstamos,61.3,63.25
2025-03-18,2025-03-18T19:15:15Z,Motor Crédito,62.3,63.25
2025-03-18,2025-03-18T19:15:15Z,Moneycorps,62.75,63.3
2025-03-18,2025-03-18T19:15:15Z,SCT,62.5,63.3
2025-03-18,2025-03-18T19:15:15Z,Panora Exchange,62.75,63.3
2025-03-18,2025-03-18T19:15:15Z,Scotiabank,61.349999999999994,63.3
2025-03-18,2025-03-18T19:15:15Z,Bonanza Banco,62.3,63.3
2025-03-18,2025-03-18T19:15:15Z,Gamelin,62.8,63.349999999999994
