date,time,entidad,compra,venta
2025-12-24,2025-12-24T13:36:08Z,Cambio Extranjero,62.5,
2025-12-24,2025-12-24T13:36:08Z,Asociación Romana,61.7,
2025-12-24,2025-12-24T13:36:08Z,Taveras,62.3,63
2025-12-24,2025-12-24T13:36:08Z,Capla,62.3,63.2
2025-12-24,2025-12-24T13:36:08Z,Panora Exchange,62.55,63.4
2025-12-24,2025-12-24T13:36:08Z,RM,62.7,63.4
2025-12-24,2025-12-24T13:36:08Z,Gamelin,62.5,63.5
2025-12-24,2025-12-24T13:36:08Z,SCT,62.5,63.5
2025-12-24,2025-12-24T13:36:08Z,Motor Crédito,62.2,63.7
2025-12-24,2025-12-24T13:36:08Z,Moneycorps,62.849999999999994,63.75
2025-12-24,2025-12-24T13:36:08Z,Banco Unión,61.9,63.75
2025-12-24,2025-12-24T13:36:08Z,Asociación Peravia de Ahorros y Préstamos,62,63.8
2025-12-24,2025-12-24T13:36:08Z,Asociación Duarte,61.9,63.8
2025-12-24,2025-12-24T13:36:08Z,Banreservas,61.849999999999994,63.849999999999994
2025-12-24,2025-12-24T13:36:08Z,Banco BHD,61.7,63.9
2025-12-24,2025-12-24T13:36:08Z,Banco Caribe,62,63.9
2025-12-24,2025-12-24T13:36:08Z,Abonap,61.94,63.93
2025-12-24,2025-12-24T13:36:08Z,Girosol,62.5,63.949999999999996
2025-12-24,2025-12-24T13:36:08Z,Banco Lafise,61.8,63.949999999999996
2025-12-24,2025-12-24T13:36:08Z,Banco Popular,61.55,63.949999999999996
2025-12-24,2025-12-24T13:36:08Z,Asociación Popular de Ahorros y Préstamos,62.2,63.949999999999996
2025-12-24,2025-12-24T13:36:08Z,Asociación Cibao de Ahorros y Préstamos,62.25,64
2025-12-24,2025-12-24T13:36:08Z,Bonanza Banco,62.3,64
2025-12-24,2025-12-24T13:36:08Z,Asociación La Nacional de Ahorros y Préstamos,62.1,64
2025-12-24,2025-12-24T13:36:08Z,Banesco,61.9,64
