date,time,entidad,compra,venta
2025-09-07,2025-09-07T13:24:30Z,Capla,63.75,
2025-09-07,2025-09-07T13:24:30Z,Moneycorps,63.75,
2025-09-07,2025-09-07T13:24:30Z,Cambio Extranjero,63.349999999999994,
2025-09-07,2025-09-07T13:24:30Z,Taveras,63.1,
2025-09-07,2025-09-07T13:24:30Z,Asociación Mocana,59.2,
2025-09-07,2025-09-07T13:24:30Z,Asociación Romana,63,
2025-09-07,2025-09-07T13:24:30Z,Asociación Peravia de Ahorros y Préstamos,61.2,63.2
2025-09-07,2025-09-07T13:24:30Z,Gamelin,63.3,63.9
2025-09-07,2025-09-07T13:24:30Z,SCT,63.2,63.949999999999996
2025-09-07,2025-09-07T13:24:30Z,Abonap,62.120000000000005,63.99
2025-09-07,2025-09-07T13:24:30Z,Banreservas,62,64
2025-09-07,2025-09-07T13:24:30Z,Asociación Duarte,63,64
2025-09-07,2025-09-07T13:24:30Z,Asociación Cibao de Ahorros y Préstamos,63.05,64.05
2025-09-07,2025-09-07T13:24:30Z,Banco Vimenca,63,64.05
2025-09-07,2025-09-07T13:24:30Z,Banco Lafise,62.05,64.05
2025-09-07,2025-09-07T13:24:30Z,Alaver,63.05,64.05
2025-09-07,2025-09-07T13:24:30Z,Banco Caribe,63.05,64.05
2025-09-07,2025-09-07T13:24:30Z,Asociación La Nacional de Ahorros y Préstamos,63,64.05
2025-09-07,2025-09-07T13:24:30Z,Girosol,63,64.1
2025-09-07,2025-09-07T13:24:30Z,RM,63.8,64.1
2025-09-07,2025-09-07T13:24:30Z,Banco BHD,61.3,64.1
2025-09-07,2025-09-07T13:24:30Z,Banco Popular,61.1,64.1
2025-09-07,2025-09-07T13:24:30Z,Bonanza Banco,63.1,64.1
2025-09-07,2025-09-07T13:24:30Z,Banesco,61.2,64.1
2025-09-07,2025-09-07T13:24:30Z,Asociación Popular de Ahorros y Préstamos,62.1,64.1
2025-09-07,2025-09-07T13:24:30Z,Panora Exchange,63.6,64.14999999999999
2025-09-07,2025-09-07T13:24:30Z,Motor Crédito,63.25,64.14999999999999
2025-09-07,2025-09-07T13:24:30Z,Banco Unión,62.25,64.2
