date,time,entidad,compra,venta
2025-07-04,2025-07-04T13:35:07Z,Capla,59.9,
2025-07-04,2025-07-04T13:35:07Z,Agente de Cambio La Nacional,59.5,
2025-07-04,2025-07-04T13:35:07Z,Asociación Mocana,56,
2025-07-04,2025-07-04T13:35:07Z,Asociación Romana,59.2,
2025-07-04,2025-07-04T13:35:07Z,Girosol,59.5,60
2025-07-04,2025-07-04T13:35:07Z,Taveras,59.8,60.2
2025-07-04,2025-07-04T13:35:07Z,Cambio Extranjero,60,60.39
2025-07-04,2025-07-04T13:35:07Z,RM,59.949999999999996,60.4
2025-07-04,2025-07-04T13:35:07Z,Moneycorps,59.949999999999996,60.449999999999996
2025-07-04,2025-07-04T13:35:07Z,Motor Crédito,59.5,60.449999999999996
2025-07-04,2025-07-04T13:35:07Z,Panora Exchange,59.8,60.5
2025-07-04,2025-07-04T13:35:07Z,Gamelin,59.8,60.5
2025-07-04,2025-07-04T13:35:07Z,Asociación Peravia de Ahorros y Préstamos,58.1,60.5
2025-07-04,2025-07-04T13:35:07Z,Banco Unión,58.4,60.5
2025-07-04,2025-07-04T13:35:07Z,Banreservas,58.65,60.5
2025-07-04,2025-07-04T13:35:07Z,Banco Caribe,59.5,60.55
2025-07-04,2025-07-04T13:35:07Z,Abonap,58.56,60.59
2025-07-04,2025-07-04T13:35:07Z,Banco BHD,57.8,60.6
2025-07-04,2025-07-04T13:35:07Z,SCT,59.7,60.6
2025-07-04,2025-07-04T13:35:07Z,Banco Vimenca,59.25,60.6
2025-07-04,2025-07-04T13:35:07Z,Banco Lafise,58.6,60.6
2025-07-04,2025-07-04T13:35:07Z,Asociación Cibao de Ahorros y Préstamos,59.5,60.6
2025-07-04,2025-07-04T13:35:07Z,Banco Popular,57.6,60.6
2025-07-04,2025-07-04T13:35:07Z,Alaver,59,60.6
2025-07-04,2025-07-04T13:35:07Z,Asociación La Nacional de Ahorros y Préstamos,59,60.6
2025-07-04,2025-07-04T13:35:07Z,Bonanza Banco,59,60.6
2025-07-04,2025-07-04T13:35:07Z,Banesco,58.4,60.6
2025-07-04,2025-07-04T13:35:07Z,Asociación Duarte,59,60.6
2025-07-04,2025-07-04T13:35:07Z,Asociación Popular de Ahorros y Préstamos,58.1,60.6
