date,time,entidad,compra,venta
2025-04-03,2025-04-03T17:19:12Z,Capla,62,
2025-04-03,2025-04-03T17:19:12Z,Asociación Mocana,60,
2025-04-03,2025-04-03T17:19:12Z,Agente de Cambio La Nacional,62,
2025-04-03,2025-04-03T17:19:12Z,Asociación Romana,61.5,
2025-04-03,2025-04-03T17:19:12Z,Moneycorps,62.5,63.1
2025-04-03,2025-04-03T17:19:12Z,Taveras,62,63.1
2025-04-03,2025-04-03T17:19:12Z,Banreservas,61.6,63.1
2025-04-03,2025-04-03T17:19:12Z,Gamelin,61.8,63.15
2025-04-03,2025-04-03T17:19:12Z,Panora Exchange,62.4,63.2
2025-04-03,2025-04-03T17:19:12Z,SCT,62.1,63.2
2025-04-03,2025-04-03T17:19:12Z,Girosol,62.349999999999994,63.2
2025-04-03,2025-04-03T17:19:12Z,Asociación Peravia de Ahorros y Préstamos,62,63.2
2025-04-03,2025-04-03T17:19:12Z,RM,62.6,63.3
2025-04-03,2025-04-03T17:19:12Z,Banco Lafise,61.6,63.3
2025-04-03,2025-04-03T17:19:12Z,Asociación Cibao de Ahorros y Préstamos,61.6,63.349999999999994
2025-04-03,2025-04-03T17:19:12Z,Banco Unión,62.1,63.349999999999994
2025-04-03,2025-04-03T17:19:12Z,Scotiabank Cambio online,61.6,63.4
2025-04-03,2025-04-03T17:19:12Z,Asociación Duarte,62.1,63.4
2025-04-03,2025-04-03T17:19:12Z,Abonap,61.9,63.44
2025-04-03,2025-04-03T17:19:12Z,Cambio Extranjero,62.449999999999996,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Banco Vimenca,61.65,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Banco BHD,61.65,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Asociación La Nacional de Ahorros y Préstamos,62.25,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Alaver,62.25,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Banesco,61.6,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Bonanza Banco,61.9,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Banco Popular,61.4,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Banco Caribe,61.7,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Asociación Popular de Ahorros y Préstamos,61.6,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Motor Crédito,62.65,63.449999999999996
2025-04-03,2025-04-03T17:19:12Z,Scotiabank,61.55,63.5
