date,time,entidad,compra,venta
2025-08-07,2025-08-07T13:45:17Z,Capla,61,
2025-08-07,2025-08-07T13:45:17Z,Asociación Mocana,59.2,
2025-08-07,2025-08-07T13:45:17Z,Asociación Romana,60.4,
2025-08-07,2025-08-07T13:45:17Z,Girosol,60.6,61.3
2025-08-07,2025-08-07T13:45:17Z,Abonap,59.620000000000005,61.39
2025-08-07,2025-08-07T13:45:17Z,Asociación Peravia de Ahorros y Préstamos,59.9,61.4
2025-08-07,2025-08-07T13:45:17Z,Alaver,60.4,61.4
2025-08-07,2025-08-07T13:45:17Z,Asociación La Nacional de Ahorros y Préstamos,60.4,61.4
2025-08-07,2025-08-07T13:45:17Z,Moneycorps,60.949999999999996,61.449999999999996
2025-08-07,2025-08-07T13:45:17Z,Banreservas,59.449999999999996,61.449999999999996
2025-08-07,2025-08-07T13:45:17Z,Cambio Extranjero,61.15,61.49
2025-08-07,2025-08-07T13:45:17Z,Banco BHD,58.8,61.5
2025-08-07,2025-08-07T13:45:17Z,Gamelin,61,61.5
2025-08-07,2025-08-07T13:45:17Z,Taveras,61,61.5
2025-08-07,2025-08-07T13:45:17Z,RM,61.1,61.5
2025-08-07,2025-08-07T13:45:17Z,Banco Vimenca,60.5,61.5
2025-08-07,2025-08-07T13:45:17Z,Banco Lafise,59.5,61.5
2025-08-07,2025-08-07T13:45:17Z,Banco Popular,58.55,61.5
2025-08-07,2025-08-07T13:45:17Z,Asociación Popular de Ahorros y Préstamos,59.5,61.5
2025-08-07,2025-08-07T13:45:17Z,Asociación Duarte,60.5,61.5
2025-08-07,2025-08-07T13:45:17Z,Banco Caribe,60.5,61.5
2025-08-07,2025-08-07T13:45:17Z,Banesco,59,61.5
2025-08-07,2025-08-07T13:45:17Z,Scotiabank Cambio online,58.9,61.55
2025-08-07,2025-08-07T13:45:17Z,SCT,61,61.6
2025-08-07,2025-08-07T13:45:17Z,Panora Exchange,61,61.6
2025-08-07,2025-08-07T13:45:17Z,Asociación Cibao de Ahorros y Préstamos,60.6,61.6
2025-08-07,2025-08-07T13:45:17Z,Motor Crédito,60.7,61.6
2025-08-07,2025-08-07T13:45:17Z,Scotiabank,58.8,61.65
2025-08-07,2025-08-07T13:45:17Z,Bonanza Banco,60.8,61.65
2025-08-07,2025-08-07T13:45:17Z,Banco Unión,60,61.7
