date,time,entidad,compra,venta
2026-04-21,2026-04-21T13:28:27Z,Asociación Romana,59.1,
2026-04-21,2026-04-21T13:28:27Z,RM,59.5,60.3
2026-04-21,2026-04-21T13:28:27Z,Cambio Extranjero,59.5,60.3
2026-04-21,2026-04-21T13:28:27Z,SCT,59.4,60.3
2026-04-21,2026-04-21T13:28:27Z,Moneycorps,59.5,60.349999999999994
2026-04-21,2026-04-21T13:28:27Z,Panora Exchange,59.4,60.4
2026-04-21,2026-04-21T13:28:27Z,Gamelin,59.4,60.5
2026-04-21,2026-04-21T13:28:27Z,Taveras,60.3,60.9
2026-04-21,2026-04-21T13:28:27Z,Bonanza Banco,59.2,61.2
2026-04-21,2026-04-21T13:28:27Z,Asociación Cibao de Ahorros y Préstamos,58.5,61.25
2026-04-21,2026-04-21T13:28:27Z,Motor Crédito,59.2,61.25
2026-04-21,2026-04-21T13:28:27Z,Banco Unión,58.5,61.5
2026-04-21,2026-04-21T13:28:27Z,Banreservas,58.5,61.5
2026-04-21,2026-04-21T13:28:27Z,Banco Caribe,58.5,61.5
2026-04-21,2026-04-21T13:28:27Z,Abonap,58.49,61.65
2026-04-21,2026-04-21T13:28:27Z,Banco BHD,58,61.7
2026-04-21,2026-04-21T13:28:27Z,Asociación La Nacional de Ahorros y Préstamos,58.3,61.8
2026-04-21,2026-04-21T13:28:27Z,Banco Lafise,58.4,61.9
2026-04-21,2026-04-21T13:28:27Z,Banesco,58.3,61.9
2026-04-21,2026-04-21T13:28:27Z,Asociación Peravia de Ahorros y Préstamos,58.4,61.9
2026-04-21,2026-04-21T13:28:27Z,Asociación Popular de Ahorros y Préstamos,58.5,61.9
