date,bank,tipo,buy,sell
2025-08-27,Scotiabank,Dólar (US) Canales Digitales*,60.45,63.1
2025-08-27,Scotiabank,Dólar (US) Sucursales,60.35,63.2
2025-08-27,Banreservas,,61.05,63.05
2025-08-27,Banco Popular,,60.1,63.1
2025-08-27,BHD,,60.3,63.1
2025-08-27,Banco Caribe,,62.05,63.05
2025-08-27,BDI,,62.1,63.1
2025-08-27,Vimenca,,62.1,63.1
2025-08-27,BLH,,61.8,63.1
2025-08-27,Banesco,,61,63.1
2025-08-27,Quezada,,62.6,63.5
2025-08-27,Lafise,,0,0
2025-08-27,Promerica,,61.6,63.1
2025-08-27,Santa Cruz,,62.1,63.1
