date,bank,tipo,buy,sell
2025-10-12,Scotiabank,Dólar (US) Canales Digitales*,61.5,63.4
2025-10-12,Scotiabank,Dólar (US) Sucursales,61.45,63.45
2025-10-12,Banreservas,,61.349999999999994,63.349999999999994
2025-10-12,BHD,,61.449999999999996,63.5
2025-10-12,Banco Caribe,,62.349999999999994,63.349999999999994
2025-10-12,BDI,,62.4,63.4
2025-10-12,Vimenca,,62.2,63.5
2025-10-12,BLH,,,
2025-10-12,Banesco,,61.5,63.5
2025-10-12,Ademi,,62.3,63.4
2025-10-12,Quezada,,62.9,63.8
2025-10-12,Lafise,,61.4,63.4
2025-10-12,Promerica,,61.4,63.4
2025-10-12,Santa Cruz,,62.3,63.5
