date,bank,tipo,buy,sell
2025-11-01,Scotiabank,Dólar (US) Canales Digitales*,62.5,64.6
2025-11-01,Scotiabank,Dólar (US) Sucursales,62.4,64.6
2025-11-01,Banreservas,,62.449999999999996,64.45
2025-11-01,BHD,,62.55,64.6
2025-11-01,Banco Caribe,,63.449999999999996,64.45
2025-11-01,BDI,,63.5,64.55
2025-11-01,Vimenca,,63.3,64.6
2025-11-01,BLH,,,
2025-11-01,Banesco,,62.7,64.6
2025-11-01,Ademi,,63.5,64.55
2025-11-01,Quezada,,63.8,64.7
2025-11-01,Lafise,,0,0
2025-11-01,Promerica,,62.55,64.55
2025-11-01,Santa Cruz,,63.4,64.6
