date,bank,tipo,buy,sell
2025-10-24,Scotiabank,Dólar (US) Canales Digitales*,62.3,64.35
2025-10-24,Scotiabank,Dólar (US) Sucursales,62.3,64.35
2025-10-24,Banreservas,,62.3,64.3
2025-10-24,BHD,,62.3,64.35
2025-10-24,Banco Caribe,,63.3,64.3
2025-10-24,BDI,,63.3,64.35
2025-10-24,Vimenca,,63,64.35
2025-10-24,BLH,,,
2025-10-24,Banesco,,62.25,64.3
2025-10-24,Ademi,,63.15,64.2
2025-10-24,Quezada,,63.5,64.5
2025-10-24,Lafise,,62.35,64.35
2025-10-24,Promerica,,62.349999999999994,64.35
2025-10-24,Santa Cruz,,63.15,64.35
