date,bank,tipo,buy,sell
2026-02-22,Scotiabank,Dólar (US) Canales Digitales*,59.85,62.65
2026-02-22,Scotiabank,Dólar (US) Sucursales,59.85,62.65
2026-02-22,Banreservas,,60.5,62.5
2026-02-22,Banco Popular,,59.55,62.8
2026-02-22,BHD,,60.2,62.7
2026-02-22,Banco Caribe,,60.2,62.6
2026-02-22,BDI,,60.2,62.25
2026-02-22,Vimenca,,60,62.5
2026-02-22,BLH,,60,62.4
2026-02-22,Banesco,,60.4,62.8
2026-02-22,Ademi,,60.5,62.5
2026-02-22,Quezada,,60.5,61.949999999999996
2026-02-22,Lafise,,60.35,62.5
2026-02-22,Promerica,,60.349999999999994,62.6
