date,bank,tipo,buy,sell
2025-05-31,Scotiabank,Dólar (US) Sucursales,58,60.5
2025-05-31,Scotiabank,Dólar (US) Canales Digitales*,58.05,60.4
2025-05-31,Banreservas,,58.4,60.25
2025-05-31,Banco Popular,,57.75,60.5
2025-05-31,BHD,,57.9,60.25
2025-05-31,Santa Cruz,,58.5,60.25
2025-05-31,Banco Caribe,,58.25,59.9
2025-05-31,BDI,,58.5,60
2025-05-31,Vimenca,,58.5,60.25
2025-05-31,BLH,,58.2,60.2
2025-05-31,Promerica,,58.25,60.5
2025-05-31,Banesco,,58.4,60.5
2025-05-31,Ademi,,58.5,60.25
2025-05-31,Quezada,,58.9,59.5
2025-05-31,Lafise,,58.15,60.5
