date,bank,tipo,buy,sell
2025-10-18,Scotiabank,Dólar (US) Canales Digitales*,62.1,64
2025-10-18,Scotiabank,Dólar (US) Sucursales,62.05,64.05
2025-10-18,Banreservas,,61.9,63.9
2025-10-18,BHD,,62,64.05
2025-10-18,Banco Caribe,,62.9,63.9
2025-10-18,BDI,,62.8,64.05
2025-10-18,Vimenca,,62.75,64.05
2025-10-18,BLH,,,
2025-10-18,Banesco,,62,64.05
2025-10-18,Ademi,,62.7,63.949999999999996
2025-10-18,Quezada,,63.1,64.05
2025-10-18,Lafise,,62.05,64.05
2025-10-18,Promerica,,62.05,64.05
2025-10-18,Santa Cruz,,62.849999999999994,64.05
