date,bank,tipo,buy,sell
2025-10-20,Scotiabank,Dólar (US) Canales Digitales*,62.1,64
2025-10-20,Scotiabank,Dólar (US) Sucursales,62.05,64.05
2025-10-20,BHD,,62,64.05
2025-10-20,Banco Caribe,,62.9,63.9
2025-10-20,BDI,,62.8,64.05
2025-10-20,Vimenca,,62.849999999999994,64.05
2025-10-20,BLH,,,
2025-10-20,Banesco,,62,64.05
2025-10-20,Ademi,,62.7,63.949999999999996
2025-10-20,Quezada,,63.1,64.05
2025-10-20,Lafise,,62.05,64.05
2025-10-20,Promerica,,62.05,64.05
2025-10-20,Santa Cruz,,62.849999999999994,64.05
