date,bank,tipo,buy,sell
2025-08-06,Scotiabank,Dólar (US) Sucursales,58.65,61.5
2025-08-06,Scotiabank,Dólar (US) Canales Digitales*,58.75,61.4
2025-08-06,Banreservas,,59.449999999999996,61.449999999999996
2025-08-06,Banco Popular,,58.55,61.5
2025-08-06,BHD,,58.8,61.5
2025-08-06,Banco Caribe,,60.4,61.4
2025-08-06,BDI,,60.4,61.4
2025-08-06,Vimenca,,0,0
2025-08-06,BLH,,60.3,61.5
2025-08-06,Banesco,,59,61.5
2025-08-06,Ademi,,60.4,61.4
2025-08-06,Quezada,,61,61.55
2025-08-06,Lafise,,59.5,61.5
2025-08-06,Promerica,,60.25,61.5
2025-08-06,Santa Cruz,,60.5,61.5
