date,bank,tipo,buy,sell
2025-10-25,Scotiabank,Dólar (US) Canales Digitales*,62.3,64.35
2025-10-25,Scotiabank,Dólar (US) Sucursales,62.3,64.35
2025-10-25,Banreservas,,62.3,64.3
2025-10-25,BHD,,62.349999999999994,64.4
2025-10-25,Banco Caribe,,63.3,64.3
2025-10-25,BDI,,63.3,64.35
2025-10-25,Vimenca,,63,64.4
2025-10-25,BLH,,,
2025-10-25,Banesco,,62.5,64.4
2025-10-25,Ademi,,63.2,64.35
2025-10-25,Quezada,,63.5,64.5
2025-10-25,Lafise,,62.4,64.4
2025-10-25,Promerica,,62.349999999999994,64.35
2025-10-25,Santa Cruz,,63.2,64.4
