date,bank,tipo,buy,sell
2025-04-19,Scotiabank,Dólar (USD) Sucursales,58.55,61.55
2025-04-19,Scotiabank,Dólar (USD) Canales Digitales*,58.85,61.25
2025-04-19,Banreservas,,59.15,61
2025-04-19,Banco Popular,,58.85,61.25
2025-04-19,BHD,,59.1,61.25
2025-04-19,Santa Cruz,,59,61.25
2025-04-19,Banco Caribe,,59,61
2025-04-19,BDI,,58.75,60.75
2025-04-19,Vimenca,,58.849999999999994,61.25
2025-04-19,BLH,,58.5,60.9
2025-04-19,Promerica,,59,61.25
2025-04-19,Banesco,,59,61.3
2025-04-19,Lafise,,59,61.25
2025-04-19,Ademi,,59,61.2
2025-04-19,Quezada,,59,60.5
