date,bank,tipo,buy,sell
2025-09-10,Scotiabank,Dólar (US) Canales Digitales*,62.1,63.9
2025-09-10,Scotiabank,Dólar (US) Sucursales,62,64
2025-09-10,Banreservas,,61.849999999999994,63.849999999999994
2025-09-10,Banco Popular,,62.05,63.9
2025-09-10,BHD,,61.3,64.1
2025-09-10,Banco Caribe,,62.849999999999994,63.849999999999994
2025-09-10,BDI,,62.5,63.949999999999996
2025-09-10,Vimenca,,62.5,63.949999999999996
2025-09-10,BLH,,62.9,64.1
2025-09-10,Ademi,,63.1,64.1
2025-09-10,Quezada,,63.25,63.949999999999996
