date,bank,tipo,buy,sell
2025-08-15,Scotiabank,Dólar (US) Canales Digitales*,59.55,62.2
2025-08-15,Scotiabank,Dólar (US) Sucursales,59.45,62.3
2025-08-15,Banreservas,,60.2,62.2
2025-08-15,Banco Popular,,59.3,62.25
2025-08-15,BHD,,59.5,62.2
2025-08-15,Banco Caribe,,61.15,62.15
2025-08-15,BDI,,61.2,62.2
2025-08-15,Vimenca,,61.2,62.2
2025-08-15,BLH,,61,62.2
2025-08-15,Banesco,,59.1,62.25
2025-08-15,Ademi,,61.15,62.25
2025-08-15,Quezada,,61.5,62.5
2025-08-15,Lafise,,60.25,62.25
2025-08-15,Promerica,,60.8,62.25
2025-08-15,Santa Cruz,,61.15,62.15
