date,bank,tipo,buy,sell
2025-07-22,Scotiabank,Dólar (US) Sucursales,58.25,61.1
2025-07-22,Scotiabank,Dólar (US) Canales Digitales*,58.35,61
2025-07-22,Banreservas,,59.1,60.949999999999996
2025-07-22,Banco Popular,,58.05,61
2025-07-22,BHD,,58.2,61
2025-07-22,Banco Caribe,,60,61
2025-07-22,BDI,,60,61
2025-07-22,Vimenca,,60,61
2025-07-22,BLH,,59.7,61
2025-07-22,Banesco,,58.5,61
2025-07-22,Ademi,,59.8,60.949999999999996
2025-07-22,Quezada,,60.6,61.3
2025-07-22,Lafise,,59,61
2025-07-22,Promerica,,58.75,61
2025-07-22,Santa Cruz,,60,61
