date,bank,tipo,buy,sell
2025-09-28,Scotiabank,Dólar (US) Canales Digitales*,60.95,62.85
2025-09-28,Scotiabank,Dólar (US) Sucursales,60.9,62.9
2025-09-28,Banreservas,,60.6,62.6
2025-09-28,Banco Popular,,60.9,62.9
2025-09-28,BHD,,60.9,62.9
2025-09-28,Banco Caribe,,61.6,62.6
2025-09-28,BDI,,61.5,62.9
2025-09-28,Vimenca,,61.5,62.9
2025-09-28,BLH,,,
2025-09-28,Banesco,,60.9,62.9
2025-09-28,Ademi,,61.1,62.9
2025-09-28,Quezada,,61.9,62.949999999999996
2025-09-28,Lafise,,60.9,62.9
2025-09-28,Promerica,,60.9,62.9
2025-09-28,Santa Cruz,,61.7,62.9
