date,bank,tipo,buy,sell
2025-08-05,Scotiabank,Dólar (US) Sucursales,58.55,61.4
2025-08-05,Scotiabank,Dólar (US) Canales Digitales*,58.65,61.3
2025-08-05,Banreservas,,59.349999999999994,61.349999999999994
2025-08-05,Banco Popular,,58.45,61.4
2025-08-05,BHD,,58.7,61.4
2025-08-05,Banco Caribe,,60.3,61.3
2025-08-05,BDI,,60.3,61.3
2025-08-05,Vimenca,,60.4,61.4
2025-08-05,BLH,,60.1,61.4
2025-08-05,Banesco,,58.7,61.4
2025-08-05,Ademi,,60.3,61.3
2025-08-05,Quezada,,60.9,61.449999999999996
2025-08-05,Lafise,,59.4,61.4
2025-08-05,Promerica,,60.15,61.4
2025-08-05,Santa Cruz,,60.4,61.4
