date,bank,tipo,buy,sell
2025-12-25,Scotiabank,Dólar (US) Canales Digitales*,61.55,63.95
2025-12-25,Scotiabank,Dólar (US) Sucursales,61.55,63.95
2025-12-25,Banreservas,,61.849999999999994,63.849999999999994
2025-12-25,BHD,,61.7,63.9
2025-12-25,Banco Caribe,,62,63.7
2025-12-25,BDI,,61.9,63.949999999999996
2025-12-25,Vimenca,,,
2025-12-25,BLH,,,
2025-12-25,Banesco,,61.9,64
2025-12-25,Ademi,,61.9,63.9
2025-12-25,Quezada,,62.3,63.5
2025-12-25,Lafise,,61.8,63.95
2025-12-25,Promerica,,61.75,63.949999999999996
