date,bank,tipo,buy,sell
2025-10-14,Scotiabank,Dólar (US) Canales Digitales*,61.65,63.55
2025-10-14,Scotiabank,Dólar (US) Sucursales,61.6,63.6
2025-10-14,Banreservas,,61.5,63.5
2025-10-14,BHD,,61.55,63.6
2025-10-14,Banco Caribe,,62.449999999999996,63.449999999999996
2025-10-14,BDI,,62.5,63.6
2025-10-14,Vimenca,,62.4,63.6
2025-10-14,BLH,,,
2025-10-14,Banesco,,61.7,63.6
2025-10-14,Ademi,,62.5,63.55
2025-10-14,Quezada,,62.9,63.8
2025-10-14,Lafise,,61.6,63.6
2025-10-14,Promerica,,61.6,63.6
2025-10-14,Santa Cruz,,62.4,63.6
