date,bank,tipo,buy,sell
2025-11-28,Scotiabank,Dólar (US) Canales Digitales*,61.6,64
2025-11-28,Scotiabank,Dólar (US) Sucursales,61.6,64
2025-11-28,Banreservas,,61.8,63.8
2025-11-28,BHD,,61.849999999999994,64.05
2025-11-28,Banco Caribe,,62,63.8
2025-11-28,BDI,,62.5,64
2025-11-28,Vimenca,,62.449999999999996,64.05
2025-11-28,BLH,,,
2025-11-28,Banesco,,61.8,64.05
2025-11-28,Ademi,,62,64
2025-11-28,Quezada,,62.7,63.9
2025-11-28,Lafise,,61.85,64.05
2025-11-28,Promerica,,61.8,64
2025-11-28,Santa Cruz,,62.3,64.05
