date,bank,tipo,buy,sell
2025-10-01,Scotiabank,Dólar (US) Canales Digitales*,60.95,62.85
2025-10-01,Scotiabank,Dólar (US) Sucursales,60.9,62.9
2025-10-01,Banreservas,,60.8,62.8
2025-10-01,Banco Popular,,60.9,62.9
2025-10-01,BHD,,60.9,62.9
2025-10-01,Banco Caribe,,61.8,62.8
2025-10-01,BDI,,61.7,62.9
2025-10-01,Vimenca,,61.5,62.9
2025-10-01,BLH,,,
2025-10-01,Banesco,,60.9,62.9
2025-10-01,Ademi,,61.1,62.9
2025-10-01,Quezada,,62,62.949999999999996
2025-10-01,Lafise,,60.9,62.9
2025-10-01,Promerica,,60.9,62.9
