date,bank,tipo,buy,sell
2025-04-10,Scotiabank,Dólar (USD) Sucursales,60.65,63
2025-04-10,Scotiabank,Dólar (USD) Canales Digitales*,60.75,62.65
2025-04-10,Banreservas,,60.8,62.3
2025-04-10,Banco Popular,,60.7,62.75
2025-04-10,BHD,,60.55,62.5
2025-04-10,Santa Cruz,,60.75,62.75
2025-04-10,Banco Caribe,,60.75,62.75
2025-04-10,BDI,,60.55,62.5
2025-04-10,Vimenca,,60.5,62.5
2025-04-10,BLH,,60.8,62.8
2025-04-10,Promerica,,60.7,62.7
2025-04-10,Banesco,,60.75,62.75
2025-04-10,Lafise,,60.5,62.5
2025-04-10,Ademi,,61.1,62.9
2025-04-10,Quezada,,60.8,61.9
