date,bank,tipo,buy,sell
2025-11-24,Scotiabank,Dólar (US) Canales Digitales*,61.65,64.05
2025-11-24,Scotiabank,Dólar (US) Sucursales,61.65,64.05
2025-11-24,Banreservas,,61.8,63.8
2025-11-24,BHD,,61.8,64
2025-11-24,Banco Caribe,,62,64
2025-11-24,BDI,,61.75,63.849999999999994
2025-11-24,Vimenca,,62,64
2025-11-24,BLH,,,
2025-11-24,Banesco,,61.75,63.949999999999996
2025-11-24,Ademi,,62,64
2025-11-24,Quezada,,62.25,63.5
2025-11-24,Lafise,,61.8,64
2025-11-24,Promerica,,61.8,64
2025-11-24,Santa Cruz,,62.25,64
