date,bank,tipo,buy,sell
2025-05-22,Scotiabank,Dólar (US) Sucursales,58,60.45
2025-05-22,Scotiabank,Dólar (US) Canales Digitales*,58.05,60.35
2025-05-22,Banreservas,,58.4,60.25
2025-05-22,Banco Popular,,58,60.5
2025-05-22,BHD,,58,60.25
2025-05-22,Santa Cruz,,58.5,60.25
2025-05-22,Banco Caribe,,58.25,59.9
2025-05-22,BDI,,58.5,60
2025-05-22,Vimenca,,58.5,60.25
2025-05-22,BLH,,58.2,60.2
2025-05-22,Promerica,,58.25,60.5
2025-05-22,Banesco,,58.4,60.5
2025-05-22,Lafise,,58.15,60.5
2025-05-22,Ademi,,58.5,60.25
2025-05-22,Quezada,,58.8,59.5
