date,bank,tipo,buy,sell
2025-08-26,Scotiabank,Dólar (US) Canales Digitales*,60.45,63.1
2025-08-26,Scotiabank,Dólar (US) Sucursales,60.35,63.2
2025-08-26,Banreservas,,61.05,63.05
2025-08-26,Banco Popular,,60.1,63.1
2025-08-26,BHD,,60.3,63.1
2025-08-26,Banco Caribe,,62.05,63.05
2025-08-26,BDI,,62.1,63.1
2025-08-26,Vimenca,,62.1,63.1
2025-08-26,BLH,,61.8,63.1
2025-08-26,Banesco,,61,63.1
2025-08-26,Ademi,,62.1,63.1
2025-08-26,Quezada,,62.75,63.5
2025-08-26,Lafise,,61.1,63.1
2025-08-26,Promerica,,61.6,63.1
2025-08-26,Santa Cruz,,62.1,63.1
