date,bank,tipo,buy,sell
2025-10-29,Scotiabank,Dólar (US) Canales Digitales*,62.35,64.45
2025-10-29,Scotiabank,Dólar (US) Sucursales,62.3,64.5
2025-10-29,Banreservas,,62.4,64.4
2025-10-29,BHD,,62.449999999999996,64.5
2025-10-29,Banco Caribe,,63.3,64.3
2025-10-29,BDI,,63.5,64.5
2025-10-29,Vimenca,,63.3,64.5
2025-10-29,BLH,,,
2025-10-29,Banesco,,62.65,64.5
2025-10-29,Ademi,,63.4,64.45
2025-10-29,Quezada,,63.7,64.6
2025-10-29,Lafise,,62.5,64.5
2025-10-29,Promerica,,62.5,64.55
2025-10-29,Santa Cruz,,63.3,64.5
