date,bank,tipo,buy,sell
2026-02-24,Scotiabank,Dólar (US) Canales Digitales*,59.6,62.4
2026-02-24,Scotiabank,Dólar (US) Sucursales,59.6,62.4
2026-02-24,Banreservas,,60,62
2026-02-24,Banco Popular,,59.5,62.5
2026-02-24,BHD,,59.8,62.5
2026-02-24,Banco Caribe,,60,62
2026-02-24,BDI,,59.8,62
2026-02-24,Vimenca,,60,62
2026-02-24,BLH,,60,62.4
2026-02-24,Banesco,,59.949999999999996,62.449999999999996
2026-02-24,Ademi,,60.25,62
2026-02-24,Quezada,,60.2,61.5
2026-02-24,Lafise,,59.85,62
2026-02-24,Promerica,,60,62.25
