date,bank,tipo,buy,sell
2025-10-13,Scotiabank,Dólar (US) Canales Digitales*,61.5,63.4
2025-10-13,Scotiabank,Dólar (US) Sucursales,61.45,63.45
2025-10-13,Banreservas,,61.449999999999996,63.449999999999996
2025-10-13,BHD,,61.449999999999996,63.5
2025-10-13,Banco Caribe,,62.349999999999994,63.349999999999994
2025-10-13,BDI,,62.4,63.4
2025-10-13,Vimenca,,62.25,63.55
2025-10-13,BLH,,,
2025-10-13,Banesco,,61.5,63.5
2025-10-13,Ademi,,62.3,63.4
2025-10-13,Quezada,,62.9,63.8
2025-10-13,Lafise,,61.55,63.55
2025-10-13,Promerica,,61.55,63.55
2025-10-13,Santa Cruz,,62.349999999999994,63.55
