date,bank,tipo,buy,sell
2025-09-21,Scotiabank,Dólar (US) Canales Digitales*,60.65,62.55
2025-09-21,Scotiabank,Dólar (US) Sucursales,60.6,62.6
2025-09-21,Banreservas,,60.7,62.7
2025-09-21,Banco Popular,,60.6,62.6
2025-09-21,BHD,,60.9,62.9
2025-09-21,Banco Caribe,,61.4,62.5
2025-09-21,BDI,,60.7,62.6
2025-09-21,Vimenca,,61,62.8
2025-09-21,BLH,,60.7,62.6
2025-09-21,Banesco,,60.9,62.9
2025-09-21,Ademi,,61,63.2
2025-09-21,Quezada,,61.6,62.7
2025-09-21,Lafise,,60.6,62.6
2025-09-21,Promerica,,60.9,62.9
2025-09-21,Santa Cruz,,61.75,62.9
