date,bank,tipo,buy,sell
2025-10-16,Scotiabank,Dólar (US) Canales Digitales*,61.8,63.7
2025-10-16,Scotiabank,Dólar (US) Sucursales,61.75,63.75
2025-10-16,Banreservas,,61.8,63.8
2025-10-16,BHD,,61.8,63.849999999999994
2025-10-16,Banco Caribe,,62.8,63.8
2025-10-16,BDI,,62.6,63.7
2025-10-16,Vimenca,,62.5,63.849999999999994
2025-10-16,BLH,,,
2025-10-16,Banesco,,61.8,63.849999999999994
2025-10-16,Ademi,,62.5,63.55
2025-10-16,Quezada,,63,64.05
2025-10-16,Lafise,,39.6971,42.627
2025-10-16,Promerica,,61.849999999999994,63.849999999999994
2025-10-16,Santa Cruz,,62.65,63.849999999999994
