date,time,entidad,compra,venta
2025-01-27,2025-01-27T13:23:01Z,Agente de Cambio La Nacional,61.25,
2025-01-27,2025-01-27T13:23:01Z,Asociación Peravia de Ahorros y Préstamos,60.6,61.6
2025-01-27,2025-01-27T13:23:01Z,Banreservas,60.15,61.65
2025-01-27,2025-01-27T13:23:01Z,Girosol,61,61.7
2025-01-27,2025-01-27T13:23:01Z,Banco Lafise,60.2,61.7
2025-01-27,2025-01-27T13:23:01Z,Scotiabank Cambio online,59.949999999999996,61.7
2025-01-27,2025-01-27T13:23:01Z,Alaver,60.7,61.7
2025-01-27,2025-01-27T13:23:01Z,Bonanza Banco,60.7,61.7
2025-01-27,2025-01-27T13:23:01Z,Banco Popular,59.949999999999996,61.7
2025-01-27,2025-01-27T13:23:01Z,Banco Caribe,60.7,61.7
2025-01-27,2025-01-27T13:23:01Z,Asociación Cibao de Ahorros y Préstamos,60.75,61.75
2025-01-27,2025-01-27T13:23:01Z,Scotiabank,59.8,61.75
2025-01-27,2025-01-27T13:23:01Z,Asociación La Nacional de Ahorros y Préstamos,60.75,61.75
2025-01-27,2025-01-27T13:23:01Z,Motor Crédito,60.8,61.75
2025-01-27,2025-01-27T13:23:01Z,Banesco,60.1,61.75
2025-01-27,2025-01-27T13:23:01Z,Asociación Popular de Ahorros y Préstamos,60,61.75
2025-01-27,2025-01-27T13:23:01Z,SCT,61.1,61.8
2025-01-27,2025-01-27T13:23:01Z,Taveras,61.4,61.849999999999994
2025-01-27,2025-01-27T13:23:01Z,Gamelin,61.4,61.949999999999996
2025-01-27,2025-01-27T13:23:01Z,Capla,61.5,62
2025-01-27,2025-01-27T13:23:01Z,Moneycorps,61.55,62
2025-01-27,2025-01-27T13:23:01Z,Cambio Extranjero,61.1,62
2025-01-27,2025-01-27T13:23:01Z,RM,61.5,62
2025-01-27,2025-01-27T13:23:01Z,Panora Exchange,61.5,62
