date,time,entidad,compra,venta
2025-01-31,2025-01-31T13:21:27Z,Agente de Cambio La Nacional,61.5,
2025-01-31,2025-01-31T13:21:27Z,Asociación Peravia de Ahorros y Préstamos,60.6,61.6
2025-01-31,2025-01-31T13:21:27Z,SCT,61.1,61.8
2025-01-31,2025-01-31T13:21:27Z,Motor Crédito,60.949999999999996,61.849999999999994
2025-01-31,2025-01-31T13:21:27Z,Girosol,61.2,61.9
2025-01-31,2025-01-31T13:21:27Z,Banreservas,60.4,61.9
2025-01-31,2025-01-31T13:21:27Z,Banco Lafise,60.4,61.9
2025-01-31,2025-01-31T13:21:27Z,Scotiabank Cambio online,60.15,61.9
2025-01-31,2025-01-31T13:21:27Z,Asociación La Nacional de Ahorros y Préstamos,60.9,61.9
2025-01-31,2025-01-31T13:21:27Z,Alaver,60.9,61.9
2025-01-31,2025-01-31T13:21:27Z,Banco Caribe,60.9,61.9
2025-01-31,2025-01-31T13:21:27Z,Asociación Cibao de Ahorros y Préstamos,60.949999999999996,61.949999999999996
2025-01-31,2025-01-31T13:21:27Z,Scotiabank,60,61.949999999999996
2025-01-31,2025-01-31T13:21:27Z,Banesco,60.15,61.949999999999996
2025-01-31,2025-01-31T13:21:27Z,Banco Popular,60.15,61.949999999999996
2025-01-31,2025-01-31T13:21:27Z,Asociación Popular de Ahorros y Préstamos,60.1,61.949999999999996
2025-01-31,2025-01-31T13:21:27Z,RM,61.8,62
2025-01-31,2025-01-31T13:21:27Z,Cambio Extranjero,61.1,62
2025-01-31,2025-01-31T13:21:27Z,Bonanza Banco,61.25,62
2025-01-31,2025-01-31T13:21:27Z,Gamelin,61.5,62.05
2025-01-31,2025-01-31T13:21:27Z,Capla,61.7,62.3
2025-01-31,2025-01-31T13:21:27Z,Moneycorps,61.8,62.3
2025-01-31,2025-01-31T13:21:27Z,Taveras,61.7,62.3
2025-01-31,2025-01-31T13:21:27Z,Panora Exchange,61.75,62.349999999999994
